,crystal,det_no,energy,rotation,tilt,filename,ql_mean,ql_abs_uncert,tof_mean,tof_abs_uncert,qs_mean,qs_abs_uncert,counts,rot_order
66,bvert,4,4,315,0,bvert_4MeV_0tilt_315rot_det4.npy,1.5993,0.0168,64.5342,0.6177,1.01,0.0116,95.0,0
78,bvert,4,4,335,0,bvert_4MeV_0tilt_335rot_det4.npy,1.6501,0.0197,64.9452,0.5755,1.0271,0.0133,82.0,1
90,bvert,4,4,345,0,bvert_4MeV_0tilt_345rot_det4.npy,1.6572,0.0179,63.5666,0.727,1.0434,0.0125,72.0,2
102,bvert,4,4,355,0,bvert_4MeV_0tilt_355rot_det4.npy,1.6268,0.0199,63.2379,0.6093,1.0387,0.0133,86.0,3
150,bvert,4,4,5,0,bvert_4MeV_0tilt_5rot_det4.npy,1.5788,0.0192,65.4623,0.6989,1.0138,0.0137,62.0,4
42,bvert,4,4,15,0,bvert_4MeV_0tilt_15rot_det4.npy,1.513,0.0174,64.2607,0.6355,0.9716,0.0127,92.0,5
54,bvert,4,4,25,0,bvert_4MeV_0tilt_25rot_det4.npy,1.4653,0.0199,64.7184,0.6118,0.9445,0.014,72.0,6
114,bvert,4,4,35,0,bvert_4MeV_0tilt_35rot_det4.npy,1.3777,0.0201,63.7729,0.6625,0.8825,0.0139,75.0,7
126,bvert,4,4,45,0,bvert_4MeV_0tilt_45rot_det4.npy,1.3653,0.0163,62.8032,0.6037,0.8781,0.0115,78.0,8
138,bvert,4,4,55,0,bvert_4MeV_0tilt_55rot_det4.npy,1.3052,0.0153,63.0229,0.5838,0.8324,0.0112,84.0,9
162,bvert,4,4,75,0,bvert_4MeV_0tilt_75rot_det4.npy,1.2732,0.0164,63.5629,0.6832,0.8053,0.0123,77.0,10
174,bvert,4,4,95,0,bvert_4MeV_0tilt_95rot_det4.npy,1.3558,0.0163,62.4434,0.6231,0.8694,0.0111,73.0,11
6,bvert,4,4,115,0,bvert_4MeV_0tilt_115rot_det4.npy,1.3949,0.0235,63.5363,0.7067,0.8863,0.0158,84.0,12
18,bvert,4,4,135,0,bvert_4MeV_0tilt_135rot_det4.npy,1.5665,0.0199,63.297,0.6513,0.988,0.014,74.0,13
30,bvert,4,4,145,0,bvert_4MeV_0tilt_145rot_det4.npy,1.5908,0.0288,63.5459,0.6768,0.9935,0.0195,56.0,14
67,bvert,5,4,315,0,bvert_4MeV_0tilt_315rot_det5.npy,1.219,0.0108,38.9528,0.1979,0.7602,0.0073,122.0,0
79,bvert,5,4,335,0,bvert_4MeV_0tilt_335rot_det5.npy,1.3171,0.0111,38.9713,0.2055,0.8137,0.0076,127.0,1
91,bvert,5,4,345,0,bvert_4MeV_0tilt_345rot_det5.npy,1.3238,0.0123,39.0498,0.2434,0.8151,0.0083,99.0,2
103,bvert,5,4,355,0,bvert_4MeV_0tilt_355rot_det5.npy,1.3198,0.0146,38.8071,0.2268,0.819,0.0102,97.0,3
151,bvert,5,4,5,0,bvert_4MeV_0tilt_5rot_det5.npy,1.283,0.0123,38.937,0.2133,0.7973,0.0084,117.0,4
43,bvert,5,4,15,0,bvert_4MeV_0tilt_15rot_det5.npy,1.2382,0.0129,39.5927,0.244,0.7752,0.0091,100.0,5
55,bvert,5,4,25,0,bvert_4MeV_0tilt_25rot_det5.npy,1.2019,0.0125,38.5944,0.2735,0.7605,0.0088,83.0,6
115,bvert,5,4,35,0,bvert_4MeV_0tilt_35rot_det5.npy,1.1689,0.0108,38.8881,0.2133,0.738,0.0077,122.0,7
127,bvert,5,4,45,0,bvert_4MeV_0tilt_45rot_det5.npy,1.1247,0.0113,39.1805,0.2222,0.7084,0.0078,103.0,8
139,bvert,5,4,55,0,bvert_4MeV_0tilt_55rot_det5.npy,1.068,0.009,39.1947,0.222,0.6693,0.0066,102.0,9
163,bvert,5,4,75,0,bvert_4MeV_0tilt_75rot_det5.npy,1.0145,0.0111,38.8503,0.2115,0.6324,0.008,110.0,10
175,bvert,5,4,95,0,bvert_4MeV_0tilt_95rot_det5.npy,1.0691,0.0084,39.2801,0.2398,0.669,0.0058,99.0,11
7,bvert,5,4,115,0,bvert_4MeV_0tilt_115rot_det5.npy,1.1396,0.0093,38.694,0.2308,0.7156,0.0068,102.0,12
19,bvert,5,4,135,0,bvert_4MeV_0tilt_135rot_det5.npy,1.2335,0.0113,38.8813,0.2312,0.7687,0.0077,116.0,13
31,bvert,5,4,145,0,bvert_4MeV_0tilt_145rot_det5.npy,1.2451,0.0122,38.7208,0.1902,0.7726,0.0083,126.0,14
68,bvert,6,4,315,0,bvert_4MeV_0tilt_315rot_det6.npy,0.8144,0.0081,29.0255,0.1363,0.4962,0.0056,141.0,0
